Year,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
1971,14495.651,1895.839,3410.31,4352.729,,21184.259,88939.418,,,425.372,152774.554,52155.741,,73.34,121528.047,293.36,150.347,23076.431,64300.845,3039.943,6732.612,,,143.013,231.021,3061.945,102635.663,484.044,7517.35,3.667,,183.35,352607.719,41943.146,27095.463,876633.02,2706.246,810.407,2962.936,685.729,30326.09,29.336,36.67,1529.139,19607.449,,44.004,1884.838,,,161.348,25.669,57062.187,3523.987,18668.697,4224.384,23047.095,,128682.364,,1851.835,40582.689,550.05,462434.369,260.357,,2845.592,660863.073,,2295.542,814.074,55.005,73.34,66.006,27814.195,47.671,469.376,2442.222,,1499.803,1331.121,,403.37,69280.631,38987.544,,205869.047,22497.045,101722.58,28862.957,1474.134,311588.657,5753.523,1657.484,797543.164,,3685.335,,249.356,29.336,29.336,58616.995,27139.467,421.705,5339.152,1525.472,21646.301,69.673,,3197.624,,,13201.2,,,8203.079,,,1026.76,3.667,126339.151,,,227.354,660.06,5104.464,,3036.276,,3615.662,399.703,396.036,502.379,16677.516,,2420.22,231.021,32280.601,1507.137,140875.139,27198.139,198.018,88.008,15060.369,2093.857,23076.431,2603.57,18613.692,27586.841,165.015,825.075,313246.141,,107560.444,16406.158,634.391,227.354,9152.832,125829.438,2503944.944,62.339,59808.77,4983.453,1353.123,16593.175,47.671,803.073,1510.804,,187.017,,,11.001,1716.156,,,84590.356,399.703,,33.003,8885.141,,150.347,315.362,19248.083,,,,18.335,8104.07,4213.383,47733.339,,2464.224,1441.131,,5808.528,4356770.034,,29.336,62562.687,22.002,,24528.563,58.672,36.67,,216.353,168568.323,3791.678,8742.128
1972,14055.611,1532.806,4506.743,5643.513,,23454.132,90156.862,,,374.034,157486.649,56193.108,,73.34,130834.893,388.702,161.348,3509.319,66171.015,3681.668,6490.59,,,157.681,253.023,3571.658,114362.729,502.379,9460.86,3.667,22.002,168.682,381136.979,42973.573,28191.896,931575.681,3014.274,861.745,3021.608,663.727,31481.195,29.336,51.338,1763.827,20799.224,,55.005,2405.552,,,190.684,25.669,59643.755,4675.425,28349.577,4594.751,25511.319,,145026.183,,1408.128,44161.681,579.386,480729.032,234.688,,2739.249,648486.948,,2423.887,832.409,66.006,66.006,88.008,31572.87,47.671,553.717,2709.913,,1562.142,1536.473,,392.369,69430.978,43340.273,,217849.136,22053.338,106115.646,29552.353,1485.135,328970.237,6288.905,1917.841,853373.239,,3872.352,,117.344,25.669,29.336,60336.818,27634.512,487.711,5727.854,1507.137,15232.718,77.007,,3542.322,,,13494.56,,,8049.065,,,1287.117,3.667,132459.374,,,245.689,839.743,4899.112,,3281.965,,3300.3,447.374,689.396,546.383,17913.295,,1705.155,253.023,41426.099,1606.146,157794.677,29427.675,267.691,77.007,16197.139,2090.19,18929.054,2801.588,18173.652,26442.737,172.349,1268.782,329952.993,,89599.478,18349.668,715.065,216.353,10784.647,132422.704,2634955.853,66.006,70344.061,5379.489,1455.799,22240.355,55.005,678.395,1679.486,,234.688,,,11.001,1745.492,,,84781.04,381.368,,44.004,7766.706,,121.011,399.703,21836.985,,,,22.002,8243.416,4737.764,53857.229,,2167.197,1382.459,,6076.219,4564952.958,,36.67,62577.355,22.002,,23058.096,62.339,36.67,,253.023,171725.61,4066.703,8225.081
1973,15592.084,1639.149,4880.777,5291.481,,30630.451,94065.884,,,330.03,170992.21,60164.469,,73.34,138872.957,381.368,168.682,4554.414,68825.923,5522.502,7873.049,,,146.68,425.372,3457.981,132463.041,480.377,9981.574,3.667,51.338,161.348,381621.023,46262.872,27652.847,968542.708,3208.625,898.415,3193.957,1221.111,33699.73,29.336,62.339,2046.186,22398.036,,58.672,2500.894,,,179.683,25.669,59266.054,5966.209,38312.816,5262.145,23795.163,,155367.123,,1752.826,49387.156,630.724,516599.626,253.023,,5313.483,660034.331,,2475.225,803.073,62.339,110.01,29.336,37256.72,55.005,557.384,2937.267,,1804.164,1510.804,,421.705,73068.642,49134.133,,224343.393,22860.078,129595.447,30645.119,1752.826,354320.208,8298.421,2203.867,915748.909,,3920.023,,128.345,36.67,29.336,73094.311,24242.537,517.047,7172.652,1481.468,14587.326,80.674,,3689.002,,,14169.288,,,9640.543,,,1074.431,3.667,144292.783,,,267.691,806.74,4110.707,,3479.983,,3564.324,469.376,678.395,572.052,17513.592,,2599.903,330.03,49577.84,1829.833,165645.724,30524.108,421.705,84.341,18202.988,2112.192,20036.488,3241.628,19757.796,31543.534,176.016,1345.789,336128.221,,97428.523,20003.485,869.079,209.019,12467.8,144960.177,2746751.682,69.673,95136.648,5427.16,1551.141,21220.929,66.006,539.049,1969.179,,264.024,,,14.668,2108.525,,,87366.275,370.367,,47.671,7895.051,,161.348,403.37,24455.223,,,,25.669,9398.521,4829.439,59486.074,,3186.623,1180.774,,5775.525,4770194.948,,40.337,66501.045,25.669,,25096.948,55.005,36.67,,326.363,173533.441,4591.084,9281.177
1974,14132.618,1917.841,4873.443,4345.395,,31327.181,95569.354,,,429.039,172356.334,57469.224,,91.675,135220.625,407.037,205.352,4660.757,71260.811,5405.158,7389.005,,,154.014,443.707,3516.653,143456.707,491.378,8184.744,3.667,88.008,113.677,389970.782,41481.104,25955.026,988014.478,3560.657,975.422,3369.973,1624.481,36479.316,29.336,66.006,1906.84,22911.416,,55.005,1925.175,,,194.351,29.336,55078.34,6417.25,31906.567,6090.887,26123.708,,173152.073,,1738.158,46680.91,671.061,499071.366,300.694,,5452.829,617607.141,,2937.267,839.743,62.339,102.676,51.338,36218.959,36.67,557.384,3069.279,,1554.808,1558.475,,473.043,74102.736,51260.993,,231992.755,23303.785,143911.415,30942.146,1741.825,359406.337,7601.691,2229.536,915873.587,,4950.45,,73.34,33.003,36.67,75686.88,19328.757,293.36,7231.324,1723.49,9347.183,73.34,,2933.6,,,14411.31,,,11136.679,,,1188.108,3.667,155007.757,,,304.361,744.401,4675.425,,3751.341,,3149.953,484.044,693.063,550.05,19050.065,,2783.253,289.693,62291.329,1950.844,160445.918,27696.851,425.372,99.009,18756.705,2335.879,21418.947,3021.608,21360.275,30531.442,194.351,1587.811,346876.198,,101718.913,20714.883,953.42,216.353,10487.62,150944.721,2851891.906,73.34,98788.98,5683.85,1851.835,21968.997,66.006,520.714,1972.846,,330.03,,,18.335,1602.479,,,79889.262,311.695,,55.005,9666.212,,150.347,377.701,24246.204,,,,22.002,10051.247,5397.824,61136.224,,2306.543,1195.442,,5683.85,4598487.673,,33.003,75133.163,25.669,,19083.068,62.339,33.003,,370.367,176734.732,4202.382,9057.49
1975,10234.597,2126.86,4415.068,4594.751,,31070.491,94931.296,,,707.731,175883.988,54392.611,,77.007,122100.099,443.707,220.02,4869.776,73061.308,5753.523,8254.417,,,176.016,458.375,4059.369,151164.741,568.385,7080.977,3.667,187.017,102.676,397143.434,39097.554,23014.092,1145607.47,3989.696,1162.439,3237.961,1100.1,35896.263,33.003,77.007,2038.852,27066.127,,55.005,1980.18,,,198.018,29.336,55778.737,6340.243,32031.245,7363.336,31099.827,,181644.845,,1210.11,46101.524,623.39,446919.292,348.365,,5368.488,603643.205,,2746.583,843.41,99.009,113.677,62.339,38873.867,47.671,506.046,3523.987,,1826.166,1668.485,,484.044,75389.853,53963.572,,252201.592,22053.338,139349.667,33157.014,1617.147,342310.783,8188.411,2493.56,870072.757,,4976.119,,73.34,33.003,33.003,81829.105,16827.863,253.023,6431.918,1485.135,11580.386,77.007,,2896.93,,,11844.41,,,11111.01,,,1694.154,7.334,164472.284,,,341.031,667.394,4587.417,,4066.703,,2885.929,509.713,590.387,579.386,19446.101,,2530.23,333.697,47395.975,1928.842,153020.243,29673.364,352.032,102.676,18261.66,7256.993,23219.444,3663.333,21965.33,32526.29,194.351,1532.806,375559.472,,107740.127,21356.608,839.743,212.686,10956.996,162257.416,2998311.549,176.016,83336.242,4239.052,2581.568,24543.231,58.672,524.381,2108.525,,502.379,,,18.335,2020.517,,,80824.347,337.364,,58.672,11184.35,,183.35,311.695,24407.552,,,,33.003,9622.208,5548.171,65697.972,,2284.541,1133.103,,5969.876,4406329.539,,33.003,63816.801,25.669,,21800.315,55.005,58.672,,605.055,185201.835,4081.371,8320.423
1976,21862.654,1987.514,3285.632,4950.45,,39651.271,99786.404,,,403.37,174244.839,58415.31,,88.008,130009.818,260.357,209.019,5570.173,73116.313,6574.931,6464.921,,,176.016,469.376,4580.083,155154.437,531.715,6024.881,3.667,594.054,128.345,399317.965,40483.68,24103.191,1196193.735,3964.027,1092.766,3413.977,1235.779,38089.129,40.337,73.34,2086.523,27223.808,,66.006,2464.224,,,198.018,29.336,60135.133,6332.909,39170.894,8111.404,34495.469,,198443.372,,1177.107,51279.328,484.044,505602.293,330.03,,5709.519,598912.775,,2434.888,887.414,99.009,95.342,62.339,42911.234,47.671,220.02,3311.301,,1752.826,1778.495,,674.728,80013.94,61810.952,,263785.645,22295.36,156643.239,48800.436,1705.155,367312.389,7282.662,2951.935,908902.62,,4609.419,,73.34,33.003,36.67,93306.815,18474.346,223.687,6127.557,1477.801,17916.962,84.341,,2805.255,,,11840.743,,,11547.383,,,993.757,11.001,184138.405,,,341.031,762.736,4899.112,,4404.067,,2559.566,517.047,619.723,583.053,23894.172,,2390.884,333.697,55247.022,2225.869,169683.091,29317.665,282.359,102.676,19237.082,8327.757,22838.076,3611.995,22442.04,35129.86,113.677,1573.143,399035.606,,110189.683,22423.705,1034.094,264.024,10384.944,174765.553,3113979.73,267.691,101550.231,3755.008,1774.828,30036.397,62.339,451.041,2211.201,,480.377,,,29.336,1998.515,,,88308.694,333.697,,80.674,13758.584,,183.35,322.696,28778.616,,,,29.336,15925.781,5848.865,73721.368,,2790.587,990.09,,5896.536,4613100.668,,33.003,57344.546,25.669,,13923.599,44.004,47.671,,729.733,193115.221,4026.366,10868.988
1977,11419.038,2390.884,3534.988,5720.52,,38785.859,100791.162,,,465.709,187787.07,56218.777,,99.009,126570.172,297.027,249.356,5812.195,75969.239,7469.679,9717.55,,,198.018,454.708,4481.074,162961.48,590.387,6395.248,7.334,781.071,128.345,408151.768,41085.068,23109.434,1310310.775,4055.702,1565.809,3487.317,480.377,39354.244,40.337,80.674,2614.571,29402.006,,69.673,2669.576,,,198.018,25.669,61847.622,5614.177,41891.808,7484.347,37865.442,,195663.786,,1048.762,50219.565,766.403,480857.377,407.037,,6314.574,604746.972,,3003.273,902.082,113.677,102.676,62.339,46999.939,47.671,722.399,3813.68,,1899.506,2002.182,,707.731,83204.23,82434.16,,279051.366,23567.809,163969.905,43710.64,1906.84,356175.71,7447.677,3164.621,935213.345,,5056.793,,73.34,22.002,36.67,105712.276,17220.232,231.021,5573.84,1474.134,20106.161,69.673,,2918.932,,,10927.66,,,12702.488,,,847.077,14.668,192847.53,,,414.371,803.073,5174.137,,4972.452,,2713.58,557.384,641.725,638.058,22610.722,,2141.528,366.7,50567.93,2838.258,164277.933,31070.491,337.364,113.677,20300.512,8507.44,24389.217,3461.648,23340.455,36754.341,183.35,1580.477,419024.423,,113867.684,22728.066,1158.772,275.025,9926.569,178399.55,3220146.714,267.691,118176.409,3806.346,2244.204,28309.24,80.674,513.38,2288.208,,799.406,,,29.336,1899.506,,,85804.133,341.031,,84.341,14664.333,,198.018,462.042,32159.59,,,,29.336,16175.137,6758.281,81572.415,,2013.183,806.74,,5650.847,4742292.745,,33.003,63732.46,29.336,,15276.722,51.338,80.674,,865.412,199950.509,3744.007,9299.512
1978,9724.884,2159.863,5412.492,6494.257,,44814.407,102639.33,,,491.378,202015.03,57483.892,,102.676,135855.016,363.033,348.365,6017.547,81411.067,7766.706,6607.934,,,216.353,425.372,5027.457,176925.416,630.724,9541.534,11.001,832.409,146.68,415896.472,42218.171,22948.086,1462168.579,4818.438,2002.182,3538.655,322.696,41682.789,29.336,209.019,2922.599,30689.123,,91.675,2808.922,,,201.685,25.669,61117.889,5449.162,62529.684,10425.281,39313.907,,200493.225,,1371.458,51913.719,711.398,505858.983,399.703,,7561.354,605084.336,,2970.27,902.082,139.346,102.676,69.673,48081.704,51.338,392.369,4129.042,,2057.187,2049.853,,755.402,88187.683,93933.872,,283096.067,23571.476,162470.102,42317.18,1925.175,373234.594,9119.829,3641.331,903886.164,,5324.484,,51.338,22.002,33.003,113405.642,21000.909,231.021,5713.186,1507.137,21239.264,99.009,,3450.647,,,11848.077,,,13076.522,,,1019.426,22.002,222649.239,,,396.036,935.085,5155.802,,5782.859,,2874.928,583.053,630.724,671.061,23237.779,,1543.807,418.038,48294.39,2632.906,170548.503,34792.496,330.03,113.677,18008.637,7796.042,26138.376,2841.925,22460.375,37476.74,110.01,1675.819,432056.941,,108451.525,22742.734,1459.466,311.695,10531.624,193903.626,3330904.782,289.693,115132.799,3439.646,2629.239,33164.348,62.339,711.398,2390.884,,557.384,,,33.003,2394.551,,,79533.563,440.04,,77.007,15221.717,,194.351,355.699,35067.521,,,,36.67,15328.06,7491.681,77256.356,,2203.867,700.397,,5742.522,4890861.25,,36.67,68690.244,29.336,,15419.735,58.672,106.343,,949.753,202099.371,3476.316,9295.845
1979,10201.594,2240.537,5504.167,7587.023,,36607.661,110703.063,,,407.037,205069.641,61594.599,,110.01,140233.414,366.7,407.037,6648.271,79152.195,8133.406,6930.63,,,209.019,462.042,4737.764,188322.452,601.388,7440.343,22.002,942.419,102.676,442067.851,39911.628,24862.26,1494859.884,5423.493,1829.833,3755.008,348.365,44433.039,22.002,249.356,2794.254,31712.216,,91.675,3003.273,,,363.033,33.003,62999.06,6809.619,45621.147,12167.106,42947.904,,203745.854,,1848.168,54333.939,839.743,529155.434,480.377,,6754.614,644893.288,,2658.575,946.086,146.68,110.01,62.339,51293.996,47.671,572.052,4693.76,,1521.805,1932.509,,755.402,86229.505,95096.311,,296891.321,27388.823,164028.577,52991.817,1987.514,387466.221,8536.776,3795.345,955620.2,,5038.458,,29.336,25.669,36.67,133211.109,17667.606,223.687,6156.893,1947.177,26032.033,150.347,,3828.348,,,12123.102,,,15958.784,,,1133.103,29.336,240874.229,,,429.039,905.749,5100.797,,6299.906,,2643.907,605.055,660.06,638.058,27278.813,,1642.816,480.377,70289.056,1712.489,187812.739,34242.446,513.38,113.677,16475.831,7722.702,28250.568,3193.957,22273.358,38136.8,124.678,1796.83,442489.556,,110571.051,25030.942,1331.121,282.359,14359.972,196074.49,3358623.635,297.027,138135.89,3571.658,2900.597,36123.617,110.01,678.395,2390.884,,487.711,,,33.003,2295.542,,,84927.72,447.374,,121.011,22548.383,,201.685,1382.459,36736.006,,,,40.337,16725.187,8771.464,75576.87,,2071.855,674.728,,6277.904,4901796.244,,29.336,76570.627,29.336,,16281.48,62.339,95.342,,1045.095,218908.899,3604.661,9449.859
1980,10498.621,1760.16,5346.486,5170.47,,36904.688,108737.551,,,143.013,220746.066,52306.088,,146.68,135301.299,517.047,432.706,7638.361,77487.377,7887.717,7990.393,,,190.684,436.373,4668.091,187090.34,674.728,6882.959,22.002,986.423,106.343,443233.957,40538.685,25265.63,1467192.369,6222.899,3905.355,3501.985,407.037,44356.032,47.671,121.011,2464.224,31400.521,,161.348,3208.625,,,348.365,36.67,60369.821,6457.587,66519.38,13443.222,45239.779,,215003.544,,1822.499,58246.628,795.739,505363.938,421.705,,6633.603,579290.658,,2559.566,964.421,157.681,146.68,58.672,51429.675,47.671,564.718,4510.41,,1789.496,2057.187,,751.735,86860.229,94784.616,,314016.211,26255.72,120900.99,45558.808,1866.503,388969.691,8452.435,4726.763,947571.135,,6197.23,,286.026,29.336,51.338,134868.593,24675.243,187.017,6178.895,2042.519,26904.779,113.677,,3410.31,,,11026.669,,,15944.116,,,1617.147,44.004,268453.736,,,392.369,1023.093,5526.169,,6879.292,,3208.625,630.724,590.387,711.398,27997.545,,2002.182,572.052,68154.862,2027.851,177508.469,38052.459,542.716,124.678,17458.587,6046.883,32067.915,3124.284,24121.526,37000.03,157.681,1829.833,464575.897,,114439.736,26985.453,1492.469,293.36,13098.524,196617.206,3491017.003,495.045,169404.399,3747.674,3351.638,31433.524,102.676,608.722,2134.194,,814.074,,,40.337,2372.549,,,71759.523,465.709,,95.342,20802.891,,209.019,718.732,40135.315,,,,40.337,16937.873,9493.863,75763.887,,1884.838,627.057,,5837.864,4723209.677,,36.67,90802.254,29.336,,16820.529,62.339,99.009,,1195.442,228454.1,3531.321,9636.876
1981,9999.909,1983.847,5280.48,7341.334,,36857.017,102041.609,,,106.343,230360.94,56130.769,,157.681,124021.607,429.039,557.384,7931.721,80343.97,8525.775,2801.588,,,183.35,388.702,4792.769,171806.284,685.729,1470.467,25.669,1008.425,135.679,430003.421,38859.199,24554.232,1451501.276,4466.406,5342.819,3777.01,473.043,44458.708,47.671,33.003,2251.538,32749.977,,154.014,3047.277,,,300.694,36.67,51789.041,6167.894,46438.888,16692.184,50978.634,,207288.176,,1866.503,51510.349,1081.765,454700.666,440.04,,6574.931,560819.979,,3047.277,990.09,157.681,143.013,69.673,50721.944,58.672,528.048,3967.694,,1800.497,1822.499,,766.403,86618.207,100160.438,,338838.134,26039.367,112899.596,32122.92,1752.826,378020.029,7414.674,5863.533,929606.502,,6527.26,,300.694,29.336,55.005,139742.036,25214.292,150.347,6351.244,1939.843,28811.619,95.342,,4033.7,,,9427.857,,,15856.108,,,1026.76,47.671,284529.864,,,396.036,1144.104,5639.846,,6644.604,,2489.893,663.727,542.716,605.055,30824.802,,1393.46,685.729,65958.329,2141.528,164956.328,40329.666,454.708,124.678,16527.169,6017.547,34400.127,3340.637,24103.191,34664.151,157.681,1932.509,410062.275,,114799.102,27227.475,1389.793,330.03,12860.169,198153.679,3425062.341,601.388,175491.619,3641.331,3296.633,26849.774,135.679,693.063,1833.5,,275.025,,,44.004,2031.518,,,69430.978,436.373,,99.009,26637.088,,209.019,627.057,38048.792,,,,47.671,17260.569,9834.894,79874.594,,2123.193,528.048,,5375.822,4535800.308,,36.67,91968.36,44.004,,17726.278,51.338,102.676,,1360.457,257368.395,3366.306,9435.191
1982,11180.683,2101.191,4649.756,7308.331,,36871.685,103424.068,,,293.36,234119.615,53868.23,,157.681,117553.019,491.378,575.719,8599.115,90131.193,9838.561,2262.539,,,172.349,396.036,4349.062,172176.651,645.392,2093.857,33.003,1100.1,143.013,414811.04,36629.663,20615.874,1580260.647,6109.222,6343.91,3072.946,1345.789,45914.507,47.671,36.67,2086.523,34554.141,,161.348,3102.282,,,348.365,40.337,53695.881,6340.243,39269.903,19288.42,56523.138,,209906.414,,1481.468,43083.583,839.743,436893.714,458.375,,6556.596,548520.861,,3043.61,982.756,161.348,143.013,73.34,52148.407,62.339,517.047,3626.663,,1404.461,1763.827,,825.075,86871.23,105407.915,,349637.449,25547.989,138007.545,30623.117,1598.812,369681.271,6219.232,6292.572,900200.829,,4693.76,,337.364,25.669,66.006,141905.566,21169.591,157.681,6112.889,601.388,30762.463,113.677,,4499.409,,,8859.472,,,17058.884,,,1015.759,47.671,304837.71,,,366.7,1312.786,5599.509,,6761.948,,2541.231,883.747,502.379,594.054,30571.779,,1265.115,748.068,65602.63,2115.859,134322.21,41052.065,443.707,124.678,18239.658,5735.188,37385.065,3292.966,23670.485,34997.848,157.681,1947.177,422211.046,,117344,29255.326,1367.791,337.364,12354.123,195773.796,3489821.561,608.722,158091.704,3828.348,3054.611,29750.371,121.011,553.717,1767.494,,718.732,,,47.671,1873.837,,,62291.329,436.373,,84.341,24488.226,,205.352,733.4,37909.446,,,,44.004,18426.675,9526.866,86988.574,,2167.197,546.383,,4873.443,4306748.487,,40.337,93405.824,36.67,,18382.671,51.338,113.677,,1958.178,280749.187,3520.32,8811.801
